Entry	Status	Organism	Subcellular location [CC]
Q8NEB7	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q29016}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250|UniProtKB:Q29016, ECO:0000250|UniProtKB:Q3V140}.
Q08AH3	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250}.
Q4L235	reviewed	Homo sapiens (Human)	
O60488	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.
P62736	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.
P68032	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.
Q4AC99	reviewed	Homo sapiens (Human)	
P30453	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30462	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30480	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30485	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P18464	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30491	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30495	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q31612	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q29718	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P04222	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q9TNN7	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q29963	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q07000	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q95604	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P46952	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm.
P47898	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P50406	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
O95336	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q96IX9	reviewed	Homo sapiens (Human)	
P32297	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
P30532	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
P02708	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
P30926	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
O96019	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18026119}.
P08912	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein.
O00767	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15907797}; Multi-pass membrane protein {ECO:0000269|PubMed:18765284, ECO:0000305}.
Q86TX2	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16940157}.
O14561	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:12611891}.
Q68CK6	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:10434065, ECO:0000269|PubMed:12616642, ECO:0000269|PubMed:19634011}.
Q9NR19	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm.
Q96CM8	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.
Q9ULC5	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion. Endoplasmic reticulum. Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.
Q9H6R3	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.
Q01718	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9H568	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.
P35609	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:11171996, ECO:0000269|PubMed:19932097}. Note=Colocalizes with MYOZ1 and FLNC at the Z-lines of skeletal muscle.
Q9BYD9	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.
O43184	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Isoform 1: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: Isoform 2: Secreted.; SUBCELLULAR LOCATION: Isoform 3: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: Isoform 4: Secreted {ECO:0000305}.
P18825	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9UKF2	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000269|PubMed:27333034}; Single-pass type I membrane protein {ECO:0000255}.
Q99965	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q6NVV9	reviewed	Homo sapiens (Human)	
Q3MIX3	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
O60503	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10987815, ECO:0000269|PubMed:9628827}; Multi-pass membrane protein {ECO:0000305}.
P01889	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30464	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q95365	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30475	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30481	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30487	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30493	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30498	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P46098	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
P36639	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Isoform p18: Cytoplasm. Mitochondrion matrix. Nucleus. Note=Mostly present in cytoplasm. Variant Met-124 has decreased efficiency in translocation to mitochondria.; SUBCELLULAR LOCATION: Isoform p26: Cytoplasm. Mitochondrion matrix.
P19652	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.
A0PJZ0	reviewed	Homo sapiens (Human)	
Q9UNA3	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000255}.
P29275	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P31941	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Nucleus. Cytoplasm.
Q8IUX4	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, P-body.
P78363	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:10075733}; Multi-pass membrane protein {ECO:0000269|PubMed:10075733}. Note=Localized to outer segment disk edges of rods and cones, with around one million copies/photoreceptor.
O94911	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8WWZ4	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8NE71	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Isoform 2: Cytoplasm {ECO:0000269|PubMed:19570978}. Nucleus, nucleoplasm {ECO:0000269|PubMed:19570978}. Nucleus envelope {ECO:0000269|PubMed:19570978}.
Q8TB40	reviewed	Homo sapiens (Human)	
Q7L211	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Q9NYB9	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.; SUBCELLULAR LOCATION: Isoform 1: Cell projection, lamellipodium {ECO:0000250}. Cell projection, filopodium {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Isoform 1 but not isoform 3 is localized to protruding lamellipodia and filopodia tips. {ECO:0000250}.
Q969K4	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11494141}.
Q709F0	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Peroxisome {ECO:0000250}. Mitochondrion {ECO:0000269|PubMed:21237683}. Note=Has been detected associated with mitochondrial membrane, but no matrix, in kidney and cerebellum, as well as in a neuroblastoma cell line, but not in skin fibroblasts, where it is observed in cytoplasmic vesicles (PubMed:21237683). No mitochondrial targeting signals could be predicted for any known isoform, including a putative isoform starting at Met-316. {ECO:0000269|PubMed:21237683}.
P45954	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion matrix.
Q96AP0	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15181449, ECO:0000269|PubMed:25205116, ECO:0000269|PubMed:25233904}. Chromosome, telomere {ECO:0000269|PubMed:15181449, ECO:0000269|PubMed:25205116, ECO:0000269|PubMed:25233904}.
Q5QJU3	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:16940153, ECO:0000269|PubMed:20089856}; Multi-pass membrane protein {ECO:0000269|PubMed:16940153, ECO:0000269|PubMed:20089856}.
Q07001	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
Q16570	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Early endosome. Recycling endosome. Membrane; Multi-pass membrane protein. Note=Predominantly localizes to endocytic vesicles, and upon stimulation by the ligand is internalized via caveolae. Once internalized, the ligand dissociates from the receptor, and is targeted to degradation while the receptor is recycled back to the cell membrane.
P25106	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Cytoplasm, perinuclear region. Early endosome. Recycling endosome {ECO:0000250}. Note=Predominantly localizes to endocytic vesicles, and upon stimulation by the ligand is internalized via clathrin-coated pits in a beta-arrestin-dependent manner. Once internalized, the ligand dissociates from the receptor, and is targeted to degradation while the receptor is recycled back to the cell membrane.
O15254	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Peroxisome {ECO:0000305}.
P62258	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12917326}. Cytoplasm {ECO:0000269|PubMed:12917326}. Melanosome {ECO:0000269|PubMed:12042314, ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000269|PubMed:12042314, ECO:0000269|PubMed:17081065}.
P61981	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
P27348	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm. Note=In neurons, axonally transported to the nerve terminals.
P30443	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P04439	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30504	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P10321	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P01912	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Endosome membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Lysosome membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Late endosome membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Note=The MHC class II complex transits through a number of intracellular compartments in the endocytic pathway until it reaches the cell membrane for antigen presentation.
P13760	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Endosome membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Lysosome membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Late endosome membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Note=The MHC class II complex transits through a number of intracellular compartments in the endocytic pathway until it reaches the cell membrane for antigen presentation.
P30939	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8380639, ECO:0000269|PubMed:8384716}; Multi-pass membrane protein {ECO:0000269|PubMed:8380639, ECO:0000269|PubMed:8384716}.
P28223	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28129538}; Multi-pass membrane protein {ECO:0000305}. Cell projection, dendrite {ECO:0000250}. Cell projection, axon {ECO:0000250|UniProtKB:P14842}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:P14842}. Membrane, caveola {ECO:0000250|UniProtKB:P14842}. Note=Localizes to the postsynaptic thickening of axo-dendritic synapses. {ECO:0000250}.
