ID_interactor_A,ID_interactor_B,Taxid_interactor_A,Taxid_interactor_B,Interaction_type(s),Interaction_identifier(s),Confidence_value(s),Processing_Status
DIP-24569N|refseq:NP_741617,DIP-25005N|refseq:NP_507643|uniprotkb:Q9U1T6,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40398E,dip-quality-status:,dip:0005(high throughput)
DIP-24569N|refseq:NP_741617,DIP-27385N|refseq:NP_495966|uniprotkb:Q23390,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40400E,dip-quality-status:,dip:0005(high throughput)
DIP-27301N|refseq:NP_495189|uniprotkb:Q9BIB5,DIP-26242N|refseq:NP_494487|uniprotkb:Q9BKP8,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40402E,dip-quality-status:,dip:0005(high throughput)
DIP-27301N|refseq:NP_495189|uniprotkb:Q9BIB5,DIP-27342N|refseq:NP_494893|uniprotkb:Q21746,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40403E,dip-quality-status:,dip:0005(high throughput)
DIP-25114N|refseq:NP_492600|uniprotkb:O18688,DIP-24486N|refseq:NP_502126|uniprotkb:Q17433,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40404E,dip-quality-status:,dip:0005(high throughput)
DIP-27342N|refseq:NP_494893|uniprotkb:Q21746,DIP-24486N|refseq:NP_502126|uniprotkb:Q17433,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40405E,dip-quality-status:,dip:0005(high throughput)
DIP-25477N|refseq:NP_491714|uniprotkb:O01427,DIP-25016N|refseq:NP_509046|uniprotkb:Q17993,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40407E,dip-quality-status:,dip:0005(high throughput)
DIP-25926N|refseq:NP_490956|uniprotkb:Q9GSQ0,DIP-25477N|refseq:NP_491714|uniprotkb:O01427,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40410E,dip-quality-status:,dip:0005(high throughput)
DIP-26100N|refseq:NP_500841|uniprotkb:P91001,DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40412E,dip-quality-status:,dip:0005(high throughput)
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,DIP-27492N|refseq:NP_506184|uniprotkb:Q18018,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40413E,dip-quality-status:,dip:0005(high throughput)
DIP-27097N|refseq:NP_500005|uniprotkb:Q9TZ16,DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40415E,dip-quality-status:,dip:0005(high throughput)
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,DIP-25877N|refseq:NP_492204|uniprotkb:Q18846,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40416E,dip-quality-status:,dip:0005(high throughput)
DIP-24944N|refseq:NP_495467|uniprotkb:Q19300,DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40417E,dip-quality-status:,dip:0005(high throughput)
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,DIP-27268N|refseq:NP_509922|uniprotkb:Q93637,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40418E,dip-quality-status:,dip:0005(high throughput)
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,DIP-25524N|refseq:NP_501775|uniprotkb:O45436,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40419E,dip-quality-status:,dip:0005(high throughput)
DIP-25054N|refseq:NP_496469|uniprotkb:Q20772,DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40421E,dip-quality-status:,dip:0005(high throughput)
DIP-26904N|refseq:NP_497703|uniprotkb:Q21021,DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40422E,dip-quality-status:,dip:0005(high throughput)
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,DIP-26521N|refseq:NP_498563|uniprotkb:O18158,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40423E,dip-quality-status:,dip:0005(high throughput)
DIP-25971N|uniprotkb:Q21431,DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40424E,dip-quality-status:,dip:0005(high throughput)
DIP-24935N|refseq:NP_505817|uniprotkb:P10983,DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40426E,dip-quality-status:,dip:0005(high throughput)
DIP-26036N|refseq:NP_509586|uniprotkb:P41941,DIP-24841N|refseq:NP_505800|uniprotkb:P54412,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40438E,dip-quality-status:,dip:0005(high throughput)
DIP-25384N|refseq:NP_503729|uniprotkb:O61899,DIP-24528N|refseq:NP_498235|uniprotkb:Q10943,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40448E,dip-quality-status:,dip:0005(high throughput)
DIP-27083N|refseq:NP_509562|uniprotkb:Q11073,DIP-24378N|refseq:NP_493624|uniprotkb:O62190,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40452E,dip-quality-status:,dip:0005(high throughput)
DIP-25891N|refseq:NP_502280|uniprotkb:Q22436,DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40428E,dip-quality-status:,dip:0005(high throughput)
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,DIP-25384N|refseq:NP_503729|uniprotkb:O61899,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40429E,dip-quality-status:,dip:0005(high throughput)
DIP-26557N|refseq:NP_496736|uniprotkb:Q9U2D9,DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40430E,dip-quality-status:,dip:0005(high throughput)
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,DIP-25552N|refseq:NP_507526|uniprotkb:Q9GRZ1,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40431E,dip-quality-status:,dip:0005(high throughput)
DIP-25583N|refseq:NP_499592|uniprotkb:Q9XW83,DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40432E,dip-quality-status:,dip:0005(high throughput)
DIP-24509N|refseq:NP_504409|uniprotkb:O16488,DIP-26846N|refseq:NP_491416|uniprotkb:O02056,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40433E,dip-quality-status:,dip:0005(high throughput)
DIP-27342N|refseq:NP_494893|uniprotkb:Q21746,DIP-24509N|refseq:NP_504409|uniprotkb:O16488,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-40434E,dip-quality-status:core,dip:0005(high throughput)|dip:0005(high throughput)
DIP-25463N|refseq:NP_741698|uniprotkb:Q9NES7,DIP-24509N|refseq:NP_504409|uniprotkb:O16488,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40435E,dip-quality-status:,dip:0005(high throughput)
DIP-24532N|refseq:NP_504400|uniprotkb:O16497,DIP-24731N|refseq:NP_495731|uniprotkb:Q8I4H0,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40436E,dip-quality-status:,dip:0005(high throughput)
DIP-26036N|refseq:NP_509586|uniprotkb:P41941,DIP-26183N|refseq:NP_509021|uniprotkb:Q18025,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40437E,dip-quality-status:,dip:0005(high throughput)
DIP-25058N|refseq:NP_498554|uniprotkb:P41999,DIP-25058N|refseq:NP_498554|uniprotkb:P41999,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40440E,dip-quality-status:,dip:0005(high throughput)
DIP-26472N|refseq:NP_501545|uniprotkb:Q18241,DIP-25058N|refseq:NP_498554|uniprotkb:P41999,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40441E,dip-quality-status:,dip:0005(high throughput)
DIP-26863N|refseq:NP_741411|uniprotkb:Q21493,DIP-25058N|refseq:NP_498554|uniprotkb:P41999,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40442E,dip-quality-status:,dip:0005(high throughput)
DIP-25058N|refseq:NP_498554|uniprotkb:P41999,DIP-25098N|refseq:NP_001022535|uniprotkb:Q23664,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40443E,dip-quality-status:,dip:0005(high throughput)
DIP-24510N|refseq:NP_494771|uniprotkb:Q10457,DIP-24510N|refseq:NP_494771|uniprotkb:Q10457,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-40444E,dip-quality-status:core,dip:0005(high throughput)|dip:0005(high throughput)
DIP-25406N|refseq:NP_494772|uniprotkb:Q10923,DIP-25406N|refseq:NP_494772|uniprotkb:Q10923,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40445E,dip-quality-status:,dip:0005(high throughput)
DIP-25406N|refseq:NP_494772|uniprotkb:Q10923,DIP-26766N|refseq:NP_507060|uniprotkb:O45521,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40446E,dip-quality-status:,dip:0005(high throughput)
DIP-27086N|refseq:NP_502104|uniprotkb:Q93934,DIP-25050N,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-40447E,dip-quality-status:core,dip:0005(high throughput)|dip:0005(high throughput)
DIP-25530N|refseq:NP_495955|uniprotkb:Q22705,DIP-27393N|refseq:NP_498605|uniprotkb:Q9TXZ9,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40449E,dip-quality-status:,dip:0005(high throughput)
DIP-26217N|refseq:NP_497978|uniprotkb:P46769,DIP-25541N|refseq:NP_498579|uniprotkb:P49197,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40450E,dip-quality-status:,dip:0005(high throughput)
DIP-24528N|refseq:NP_498235|uniprotkb:Q10943,DIP-26907N|uniprotkb:Q03563,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40454E,dip-quality-status:,dip:0005(high throughput)
DIP-25487N|refseq:NP_491691|uniprotkb:O01686,DIP-26907N|uniprotkb:Q03563,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40455E,dip-quality-status:,dip:0005(high throughput)
DIP-26907N|uniprotkb:Q03563,DIP-25037N|refseq:NP_506626|uniprotkb:Q18688,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40456E,dip-quality-status:,dip:0005(high throughput)
DIP-26907N|uniprotkb:Q03563,DIP-25937N|refseq:NP_496997|uniprotkb:O45410,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40457E,dip-quality-status:,dip:0005(high throughput)
DIP-26907N|uniprotkb:Q03563,DIP-26178N|refseq:NP_491645|uniprotkb:P91306,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40458E,dip-quality-status:,dip:0005(high throughput)
DIP-26445N|refseq:NP_502151|uniprotkb:O45603,DIP-26907N|uniprotkb:Q03563,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40459E,dip-quality-status:,dip:0005(high throughput)
DIP-25258N|refseq:NP_505312|uniprotkb:Q22554,DIP-26907N|uniprotkb:Q03563,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40460E,dip-quality-status:,dip:0005(high throughput)
DIP-26907N|uniprotkb:Q03563,DIP-26697N|refseq:NP_496847|uniprotkb:O18195,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40461E,dip-quality-status:,dip:0005(high throughput)
DIP-27273N|refseq:NP_499086|uniprotkb:Q9XVX8,DIP-26447N|refseq:NP_498635|uniprotkb:P32085,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40462E,dip-quality-status:,dip:0005(high throughput)
DIP-25531N|refseq:NP_501187|uniprotkb:Q17522,DIP-26100N|refseq:NP_500841|uniprotkb:P91001,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40463E,dip-quality-status:,dip:0005(high throughput)
DIP-24889N|uniprotkb:O17583,DIP-25531N|refseq:NP_501187|uniprotkb:Q17522,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40464E,dip-quality-status:,dip:0005(high throughput)
DIP-25870N|refseq:NP_501038|uniprotkb:O45087,DIP-25531N|refseq:NP_501187|uniprotkb:Q17522,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40465E,dip-quality-status:,dip:0005(high throughput)
DIP-24607N|refseq:NP_496323|uniprotkb:Q09415,DIP-25531N|refseq:NP_501187|uniprotkb:Q17522,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40466E,dip-quality-status:,dip:0005(high throughput)
DIP-27460N|refseq:NP_495604|uniprotkb:Q19535,DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40467E,dip-quality-status:,dip:0005(high throughput)
DIP-26184N|refseq:NP_491593|uniprotkb:P91283,DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40468E,dip-quality-status:,dip:0005(high throughput)
DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,DIP-24622N|refseq:NP_495811|uniprotkb:P49405,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40469E,dip-quality-status:,dip:0005(high throughput)
DIP-26739N|refseq:NP_491838|uniprotkb:O44772,DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40470E,dip-quality-status:,dip:0005(high throughput)
DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,DIP-26176N|refseq:NP_503389|uniprotkb:O16308,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40472E,dip-quality-status:,dip:0005(high throughput)
DIP-26188N|refseq:NP_502696|uniprotkb:Q9XTH8,DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40473E,dip-quality-status:,dip:0005(high throughput)
DIP-27116N|refseq:NP_510086|uniprotkb:Q22544,DIP-24885N|refseq:NP_501020,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40477E,dip-quality-status:,dip:0005(high throughput)
DIP-24354N|refseq:NP_509321|uniprotkb:Q21668,DIP-24334N,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40478E,dip-quality-status:,dip:0005(high throughput)
